Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | entity: Golang - none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。 

Mastery 精通 | w_freq: 6 - 43 | wiki_freq: 686 - 2743 | sentence_idx: 3613 | align_1: 11-10 | align_2: 12-18 | entity: Business Mastery - none |    And then when I shared what I did in New Business Mastery he realised that he had n’t seen a programme like that that took agencies step by step on how to do it really effectively and efficiently . ||| 然后 , 当 我 分享 我 在 《 新 商业 精通 》 中 所 做 的 时 , 他 意识 到 , 他 没有 看到 这样 的 计划 , 在 如何 真正 有效 和 高效 地 做到 这 一点 上 , 各 机构 会 一 步 一 步 地 去 做 。 

Grascals Grascals | w_freq: 1 - 2 | wiki_freq: 38 - 0 | sentence_idx: 4533 | align_1: 6-8 | align_2: 6-13 | entity: Grascals - none |    Life Finds A Way – The Grascals ||| 《 Life Finds a Way 》 － The Grascals （ 英语 ： The Grascals ） 

Almighty 正如马利亚 | w_freq: 117 - 1 | wiki_freq: 2790 - 0 | sentence_idx: 4781 | align_1: 9-20 | align_2: 10-24 | entity: Allah Almighty - none |    The way these events unfolded were indicative of Allah Almighty ’s hikmah ( wisdom ) as it leads to Maryam being raised in the way that is exceptional . ||| 更 确切 地 说 ， 对于 真主 降示 的 话语 而言 这是 个 纯洁 的 器皿 ， 同样 地 ， 正如马利亚 （ 麦尔彦 ） 的 童贞 对 基督徒 的 意义 一样 ， 她 的 身体 是 适于 孕育 基督 － 神 （ 真主 ） 的 道 （ 话语 ） － 的 纯洁 器皿 。 

Eternity 正常人 | w_freq: 12 - 43 | wiki_freq: 3772 - 449 | sentence_idx: 4980 | align_1: 0-2 | align_2: 1-15 | entity: Eternity - none |    Eternity 's Sunrise : A Way of Keeping a Diary ||| 作品 ： 正常人 被 镇压 的 疯狂 : 精神 分析 , 四十四年 的 探索 、 ETERNITY'S SUNRISE A WAY OF KEEPING A DIARY 

Prism Prism | w_freq: 10 - 6 | wiki_freq: 2503 - 133 | sentence_idx: 5998 | align_1: 14-14 | align_2: 15-20 | entity: Prism - none |    But still , if we talk about abusive interference in individuals ’ rights , Prism does the same . ||| 但是 ， 如果 我们 谈 到 权力 对 个人 权利 的 干涉 ， “ Prism ” 所 做 的 也 是 一样 的 。 

Charm Charm | w_freq: 8 - 10 | wiki_freq: 2188 - 44 | sentence_idx: 7688 | align_1: 3-3 | align_2: 4-11 | entity: Good Luck Charm - none |    " Good Luck Charm " / " Anything That 's Part of You " ||| 《 Good Luck Charm （ 英语 ： Good Luck Charm ） 》 / 《 Anything That's Part of You （ 英语 ： Anything That's Part of You ） 》 

O.W.L.s 盎司 | w_freq: 1 - 64 | wiki_freq: 6 - 733 | sentence_idx: 12413 | align_1: 5-6 | align_2: 6-10 | entity: O.W.L.s - none |    " Maybe he got thirty O.W.L.s or saved a teacher from the giant squid . ||| “ 也许 他 得到 了 三十 盎司   ， 或 救 了 一个 老师 从 巨型 鱿鱼  。 

satan 撒旦 | w_freq: 46 - 312 | wiki_freq: 155 - 998 | sentence_idx: 17165 | align_1: 6-6 | align_2: 7-14 | entity: none - 撒旦 |    Adam and Eve became servants of satan . ||| 但 亚当 及 夏娃 因 被 撒旦 ( 蛇 ) 的 试探 而 犯罪 。 

X-51A X-51A | w_freq: 2 - 2 | wiki_freq: 21 - 12 | sentence_idx: 17488 | align_1: 5-2 | align_2: 6-7 | entity: X-51A - none |    This is similar to the X-51A Waverider project that was halted in 2013 but not forgotten . ||| 这 与 X-51A “ 乘波者 ” （ Waverider ） 项目 类似 ， 该 项目 于 2013年 停止 ， 但 却 未 被 人们 遗忘 。 

DSM-5 DSM-5 | w_freq: 10 - 9 | wiki_freq: 1239 - 161 | sentence_idx: 20568 | align_1: 15-9 | align_2: 16-14 | entity: DSM-5 - none |    It was ultimately not officially adopted , but instead relegated to a section of the DSM-5 containing proposals needing further study . ||| 它 最终 没有 正式 通过 ， 而是 降级 到 DSM-5 的 一部分 ， 其中 包含 需要 进一步 研究 的 提议 。 

El-Isa 安拉 | w_freq: 1 - 167 | wiki_freq: 0 - 280 | sentence_idx: 21771 | align_1: 16-7 | align_2: 17-15 | entity: El-Isa - 安拉 |    “ There has [ always been ] lots of support from day one , ” said El-Isa . ||| 安拉 以 这些 日子 发誓 ， 正如 安拉 所 说 ： “ 誓 以 黎明 ， 

25hours 维斯 | w_freq: 1 - 1 | wiki_freq: 3 - 133 | sentence_idx: 32613 | align_1: 0-1 | align_2: 1-8 | entity: none - 里 维斯 25 小时 酒店 |    25hours hotel by levi 's ||| 里 维斯 25 小时 酒店 ( 25 Hours Hotel By Levi'S ) 

Sodom 玛 | w_freq: 10 - 8 | wiki_freq: 1742 - 278 | sentence_idx: 32648 | align_1: 8-7 | align_2: 9-12 | entity: Sodom - 多 玛 |    On judgment day it will be easier for Sodom than for you . ” ||| 当 审判 的 日子 ， 所 多 玛 所 受 的 ， 比 你 还 容易 受 呢 ！ 」 

HAWKINS 柯曼霍金斯 | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 34840 | align_1: 1-0 | align_2: 2-11 | entity: none - 柯曼霍金斯 |    COLEMAN HAWKINS : The Hawk Flies High ||| 柯曼霍金斯 : 老鹰 高飞 ( 180 克 LP ) Coleman Hawkins : The Hawk Flies High 

Finne Finne | w_freq: 2 - 2 | wiki_freq: 166 - 0 | sentence_idx: 37597 | align_1: 19-20 | align_2: 20-25 | entity: Eva Finne - none |    In Sweden I am not charged , I have already been previously cleared by the Senior Stockholm Prosecutor Eva Finne . ||| 在 瑞典 ， 我 没有 被 正式 起诉 ， 我 之前 已经 被 ［ 斯德哥尔摩 高级 检察官 夏娃·芬尼 （ Eva Finne ） ］ 消除 嫌疑 。 

Spirituality Spirituality | w_freq: 8 - 5 | wiki_freq: 1733 - 6 | sentence_idx: 43928 | align_1: 7-13 | align_2: 8-23 | entity: Spirituality - none |    As Peter Scazzero observes in Emotionally Healthy Spirituality , God cares about our personalities : ||| 正如 Peter Scazzero 在 《 情绪 健康 的 灵命 （ in Emotionally Healthy Spirituality ） 》 一 书 中 所 观察 到 的 ， 上帝 是 关心 我们 的 性格 的 ： 

Dylos Dylos | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 44564 | align_1: 6-5 | align_2: 7-11 | entity: Dylos - none |    The most famous one is the Dylos Air Particule counter : ||| 其中 最 有名 的 是 Dylos 空气 微粒 计数器 ( Dylos Air Particule counter ) ： 

DOD 无助 | w_freq: 9 - 124 | wiki_freq: 1645 - 575 | sentence_idx: 53433 | align_1: 0-0 | align_2: 1-5 | entity: none - 无助 |    DOD : { 1 February 1887 } ||| 无助 2 未来 862 2004-12-26 01:12 

Imbabura 因巴布拉 | w_freq: 2 - 2 | wiki_freq: 282 - 5 | sentence_idx: 53794 | align_1: 13-8 | align_2: 14-13 | entity: Imbabura - none |    The missionary organization FEDEPI , on the other hand , estimated one million Imbabura speakers ( published 2006 ) . ||| 另一方面 ， 传教 组织 FEDEPI 估计 有 100万 因巴布拉 （ Imbabura ） 方言 使用者 （ 2006年 发布 ） 。 

Trautwein：Three Traut | w_freq: 1 - 1 | wiki_freq: 0 - 4 | sentence_idx: 55193 | align_1: 2-2 | align_2: 3-7 | entity: Hans Michael Trautwein：Three - none |    Hans Michael Trautwein：Three big questions – and no simple answers , at least not to the first two of them . ||| Hans Michael Traut we in ： 这 三大 问题 没有 简单 的 答案 ， 至少 前 两 个 没有 。 

Iftikhar 伊萨科夫 | w_freq: 4 - 2 | wiki_freq: 1070 - 22 | sentence_idx: 58586 | align_1: 0-2 | align_2: 1-10 | entity: Iftikhar - 伊萨科夫 |    Iftikhar has denied any wrongdoing . ||| 不过 ， 伊萨科夫 一直 声称 自己 是 清白 的 ， 他 否认 了 所有 的 指控 。 

RabbitMQ rabbit | w_freq: 7 - 3 | wiki_freq: 31 - 31 | sentence_idx: 59129 | align_1: 0-0 | align_2: 1-12 | entity: none - rabbit |    RabbitMQ : Who Creates the Queues and Exchanges ? ||| rabbit mq 生产者 创建 队列 还是 消费者 创建 队列 --- RABB ITMQ : WHO CREATES THE QU EUES AND EXCHANGES ? 

