FAADE token | w_freq: 1 - 11 | wiki_freq: 0 - 61 | sentence_idx: 3148 | align_1: 3-5 | align_2: 4-10 | entity: FAADE - none |    So , [ FAADE ] will surface that . ||| by this [ that ] token 照 这个 [ 那个 ] 看来 。 

SpeechActivity SpeechActivity | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 9138 | align_1: 14-10 | align_2: 15-15 | entity: SpeechActivity - none |    If you 've tweaked parameters for that , you can also update them in SpeechActivity to get the same results as in your server testing . ||| 如果 您 已经 调整 了 参数 ， 也 可以 在 SpeechActivity 中 进行 更新 ， 以 获得 与 服务器 测试 中 的 结果 相同 的 结果 。 

Prystaiko Prystaiko | w_freq: 1 - 1 | wiki_freq: 40 - 0 | sentence_idx: 23374 | align_1: 10-13 | align_2: 11-18 | entity: Prystaiko - none |    Foreign Minister Ann Linde said she had spoken to Mr Prystaiko . ||| 外交大臣 安·林德 （ Ann Linde ） 说 ， 她 已经 与 普雷斯塔科 （ Prystaiko ） 进行 了 交谈 。 

Lanayru FIN | w_freq: 1 - 5 | wiki_freq: 4 - 25 | sentence_idx: 32130 | align_1: 1-0 | align_2: 2-5 | entity: Lanayru - none |    The Lanayru Province ( ||| FIN : 芬兰 航空 公司 Finnair （ 

Cheminformatics Cheminformatics | w_freq: 1 - 3 | wiki_freq: 28 - 2 | sentence_idx: 45436 | align_1: 35-50 | align_2: 36-58 | entity: Journal of Cheminformatics - none |    Since then , both spellings have been used , and some have evolved to be established as Cheminformatics,[3 ] while European Academia settled in 2006 for Chemoinformatics.[4 ] The recent establishment of the Journal of Cheminformatics is a strong push towards the shorter variant . ||| 从 那时 起 ， 两 种 拼写 已 被 使用 ， 有些 已经 演变 为 化学 信息学 （ Cheminformatics ） [ 3 ] ， 而 欧洲 学术 研究会 于 2006年 设立 为 化学 信息 学[ 4 ] ， 最近 成立 的 《 化学 信息学 学报 （ 英语 ： Journal of Cheminformatics ） 》 （ Journal of Cheminformatics ） 是 对 较 短 变体 的 强力 推动 。 

Mahashivaratri Mahashivratri | w_freq: 1 - 1 | wiki_freq: 73 - 0 | sentence_idx: 49604 | align_1: 33-41 | align_2: 34-46 | entity: Mahashivaratri - none |    I am thinking we will run 21-day Hata Yoga programs in the ashram , maybe once in two or three months , and we will start somewhere in March 2013 , maybe after Mahashivaratri . ||| 我 在 想 我们 将 在 静修 所 举办 为期 21 天 的 哈 他 瑜伽 课程 ， 可能 是 两 到 三 个 月 一 次 ， 我们 将 在 2013年 3月 的 某个 时间 开始 ， 也许 是 在 Mahashivratri （ 大湿婆夜 ） 之后 。 

Eastasia Eastasia | w_freq: 5 - 4 | wiki_freq: 39 - 0 | sentence_idx: 71161 | align_1: 11-9 | align_2: 12-15 | entity: Eastasia - none |    ’ When I was arrested , Oceania was at war with Eastasia . ||| ” “ 当 我 被 逮捕 , 大洋洲 是 Eastasia 交战 ”    。 

Rememberer �雕 | w_freq: 1 - 1 | wiki_freq: 13 - 0 | sentence_idx: 140201 | align_1: 9-10 | align_2: 10-17 | entity: Rememberer - none |    And certainly that holds true for Iris and The Rememberer . ||| 《 易经 》 ： 是 各种 学问 所 遵从 且 �雕 [ 不 变 的 依据 经典 。 

Victaulic Victaulic | w_freq: 1 - 1 | wiki_freq: 32 - 0 | sentence_idx: 142717 | align_1: 2-1 | align_2: 3-6 | entity: Victaulic - none |    Why did Victaulic decide to put time and resources into developing the new FireLock Installation-Ready Fittings ? ||| 为什么 Victaulic （ 唯 特利 ） 决定 投入 时间 和 资源 来 开发 新 的 FireLock 免拆 快装式 管件 ？ 

AIM-120D AIM-120D | w_freq: 1 - 1 | wiki_freq: 17 - 6 | sentence_idx: 175642 | align_1: 4-4 | align_2: 5-9 | entity: AIM-120D - none |    The Navy already declared AIM-120D IOC and plans to deploy the missile this year . ||| 海军 也 已 宣布 AIM-120D 初始 作战 能力 ( IOC ) ， 并 计划 今年 部署 该 导弹 。 

Mintzberg 明茨伯格 | w_freq: 3 - 2 | wiki_freq: 98 - 1 | sentence_idx: 199739 | align_1: 7-8 | align_2: 8-16 | entity: Mintzberg - 明茨伯格 |    One of the original management thinkers , Mintzberg concludes that strategy can not be planned because planning is about analysis and strategy is about synthesis . ||| 作为 最 早 的 管理 思想家 之一 ， 明茨伯格 对 战略 规划 进行 了 总结 ， 认为 战略 不 能够 规划 ， 因为 规划 是 分析 ， 而 战略 是 综合 。 

WNBR WNBR | w_freq: 1 - 1 | wiki_freq: 43 - 4 | sentence_idx: 207104 | align_1: 21-15 | align_2: 22-19 | entity: WNBR - none |    “ If you are coming just to be a pain in the neck and to be the one to end this WNBR we ’d rather you stayed at home . ” ||| “ 如果 你 只是 为了 成为 一个 痛苦 的 脖子 ， 并 成为 结束 这个 WNBR 的 人 ， 我们 宁愿 你 呆 在 家里 

